,Unnamed: 0,urls,restaurants,stars
134,2016-03-01T16:32:55+0000,https://www.nytimes.com/2016/03/02/dining/bouley-restaurant-review.html,bouley ,3
135,2015-11-03T18:35:22+0000,https://www.nytimes.com/2015/11/04/dining/chomp-chomp-review.html,chomp chomp,2
136,2014-05-20T18:46:30+0000,https://www.nytimes.com/2014/05/21/dining/restaurant-review-the-river-cafe-at-fulton-ferry.html, the river cafe at fulton ferry,2
137,2017-05-16T17:06:24+0000,https://www.nytimes.com/2017/05/16/dining/pig-bleecker-review-greenwich-village.html,pig bleecker greenwich village,1
138,2018-12-18T17:15:06+0000,https://www.nytimes.com/2018/12/18/dining/bluebird-london-review.html,bluebird london,0
139,2018-04-03T16:15:19+0000,https://www.nytimes.com/2018/04/03/dining/claro-review-brooklyn-oaxacan.html,claro brooklyn oaxacan,2
140,2018-04-03T16:15:19+0000,https://www.nytimes.com/2018/04/03/dining/claro-review-brooklyn-oaxacan.html,claro brooklyn oaxacan,2
141,2017-11-28T16:20:14+0000,https://www.nytimes.com/2017/11/28/dining/ugly-baby-review-thai-brooklyn.html,ugly baby thai brooklyn,2
142,2013-11-19T21:07:51+0000,https://www.nytimes.com/2013/11/20/dining/reviews/restaurant-review-piora-in-the-west-village.html, piora in the west village,2
143,2013-10-29T21:00:17+0000,https://www.nytimes.com/2013/10/30/dining/reviews/restaurant-review-hearth-in-the-east-village.html, hearth in the east village,2
144,2016-01-19T19:57:15+0000,https://www.nytimes.com/2016/01/20/dining/la-chine-review.html,la chine,2
145,2016-11-29T19:21:52+0000,https://www.nytimes.com/2016/11/29/dining/bad-saint-dc-review.html,bad saint dc,3
146,2016-09-27T16:24:52+0000,https://www.nytimes.com/2016/09/28/dining/sauvage-restaurant-review.html,sauvage ,1
147,2016-03-08T15:53:59+0000,https://www.nytimes.com/2016/03/09/dining/high-street-on-hudson-review.html,high street on hudson,2
148,2016-05-17T15:13:43+0000,https://www.nytimes.com/2016/05/18/dining/momofuku-nishi-review.html,momofuku nishi,1
149,2015-04-21T17:13:42+0000,https://www.nytimes.com/2015/04/22/dining/restaurant-review-santina-in-the-meatpacking-district.html, santina in the meatpacking district,2
150,2014-07-15T21:18:05+0000,https://www.nytimes.com/2014/07/16/dining/restaurant-review-grindhaus-in-red-hook-brooklyn.html, grindhaus in red hook brooklyn,2
151,2015-07-28T16:28:09+0000,https://www.nytimes.com/2015/07/29/dining/restaurant-review-el-rey-coffee-bar-luncheonette-on-the-lower-east-side.html, el rey coffee bar luncheonette ,1
152,2012-11-13T21:58:37+0000,https://www.nytimes.com/2012/11/14/dining/reviews/restaurant-review-guys-american-kitchen-bar-in-times-square.html, guys american kitchen bar in times square,0
153,2015-04-14T17:29:04+0000,https://www.nytimes.com/2015/04/15/dining/restaurant-review-meat-hook-sandwich-in-williamsburg-brooklyn.html, meat hook sandwich in williamsburg brooklyn,1
154,2015-04-28T15:56:58+0000,https://www.nytimes.com/2015/04/29/dining/restaurant-review-mintons-in-harlem.html, mintons in harlem,1
155,2015-03-10T17:30:41+0000,https://www.nytimes.com/2015/03/11/dining/restaurant-review-bowery-meat-company-in-the-east-village.html, bowery meat company in the east village,2
156,2012-03-20T20:17:36+0000,https://www.nytimes.com/2012/03/21/dining/reviews/north-end-grill-in-battery-park-city.html,north end grill in battery park city,0
